ticker,permno,secid
NVDA,86580,108321.0
META,13407,216158.0
UBER,18576,213638.0
AVGO,93002,139322.0
AMDV,61241,
SHOP,15358,207294.0
CRM,90215,121592.0
TSLA,93436,143439.0
LRCX,48486,106808.0
BKNG,86783,109182.0
AAPL,14593,101594.0
AMZN,84788,101310.0
NOW,13447,154666.0
AMAT,14702,101610.0
NFLX,89393,115422.0
MSFT,10107,107525.0
GOOGL,90319,121812.0
TSM,85442,110784.0
ADBE,75510,101062.0
ORCL,10104,108505.0
INTC,59328,106203.0
CSCO,76076,103042.0
MU,53613,107544.0
INTU,78975,106367.0
QCOM,77178,109348.0
